run,tag,step,value,wall_time
exp_magnitude,loss_train,34,0.33893850445747375,1772331838.0120254
exp_magnitude,loss_train,35,0.3403756022453308,1772331936.3346555
exp_magnitude,loss_train,36,0.3344821035861969,1772332034.514254
exp_magnitude,loss_train,37,0.32275331020355225,1772332132.8800626
exp_magnitude,loss_train,38,0.3243063986301422,1772332231.2197018
exp_magnitude,loss_train,39,0.32287129759788513,1772332329.5837467
exp_magnitude,loss_train,40,0.3120509386062622,1772332427.834717
exp_magnitude,loss_train,41,0.3008496165275574,1772332526.083707
exp_magnitude,loss_train,42,0.29693087935447693,1772332624.4053288
exp_magnitude,loss_train,43,0.3158949613571167,1772332722.6230147
exp_magnitude,loss_train,44,0.2900267243385315,1772332820.8482893
exp_magnitude,loss_train,45,0.30307090282440186,1772332919.2187023
exp_magnitude,loss_train,46,0.2927452027797699,1772333017.6872056
exp_magnitude,loss_train,47,0.2878020703792572,1772333115.9324515
exp_magnitude,loss_train,48,0.2807273268699646,1772333214.1392944
exp_magnitude,loss_train,49,0.29500338435173035,1772333312.3669093
exp_magnitude,loss_train,50,0.2816532552242279,1772333410.5244827
exp_magnitude,loss_train,51,0.27638787031173706,1772333508.7766829
exp_magnitude,loss_train,52,0.26579901576042175,1772333607.0214136
exp_magnitude,loss_train,53,0.2817763090133667,1772333705.2105682
exp_magnitude,loss_train,54,0.2601502537727356,1772333803.3968441
exp_magnitude,loss_train,55,0.27050653100013733,1772333901.613988
exp_magnitude,loss_train,56,0.2719680964946747,1772333999.773192
exp_magnitude,loss_train,57,0.2497425228357315,1772334097.9970727
exp_magnitude,loss_train,58,0.24900217354297638,1772334196.21087
exp_magnitude,loss_train,59,0.27030402421951294,1772334294.4750206
exp_magnitude,loss_train,60,0.2492271214723587,1772334392.681406
exp_magnitude,loss_train,61,0.18596681952476501,1772334490.8919823
exp_magnitude,loss_train,62,0.1572522222995758,1772334589.1073246
exp_magnitude,loss_train,63,0.14274580776691437,1772334687.3113272
exp_magnitude,loss_train,64,0.14041686058044434,1772334785.4430294
exp_magnitude,loss_train,65,0.1417652815580368,1772334883.6893067
exp_magnitude,loss_train,66,0.13387808203697205,1772334981.8647676
exp_magnitude,loss_train,67,0.13123786449432373,1772335080.08792
exp_magnitude,loss_train,68,0.13157892227172852,1772335178.2932239
exp_magnitude,loss_train,69,0.11972111463546753,1772335276.499057
exp_magnitude,loss_train,70,0.12113375216722488,1772335374.6638956
exp_magnitude,loss_train,71,0.11616681516170502,1772335472.9252977
exp_magnitude,loss_train,72,0.11305788904428482,1772335571.1042476
exp_magnitude,loss_train,73,0.11454539000988007,1772335669.251749
exp_magnitude,loss_train,74,0.11844976991415024,1772335767.4189005
exp_magnitude,loss_train,75,0.1112125813961029,1772335865.5501118
exp_magnitude,loss_train,76,0.11230647563934326,1772335963.7170038
exp_magnitude,loss_train,77,0.11078191548585892,1772336061.8928359
exp_magnitude,loss_train,78,0.1064678207039833,1772336160.025402
exp_magnitude,loss_train,79,0.10418660938739777,1772336258.200866
exp_magnitude,loss_train,80,0.10523640364408493,1772336356.402267
exp_magnitude,loss_train,81,0.09107795357704163,1772336454.617456
exp_magnitude,loss_train,82,0.09917283803224564,1772336552.7469664
exp_magnitude,loss_train,83,0.09566321223974228,1772336650.884432
exp_magnitude,loss_train,84,0.0937066301703453,1772336749.0508547
exp_magnitude,loss_train,85,0.09762649983167648,1772336847.2245295
exp_magnitude,loss_train,86,0.10347051918506622,1772336945.4309876
exp_magnitude,loss_train,87,0.09250056743621826,1772337043.517696
exp_magnitude,loss_train,88,0.09329047799110413,1772337141.649815
exp_magnitude,loss_train,89,0.10057417303323746,1772337239.7821136
exp_magnitude,loss_train,90,0.09844384342432022,1772337337.9269965
exp_magnitude,loss_train,91,0.0935920774936676,1772337436.025199
exp_magnitude,loss_train,92,0.0963485836982727,1772337534.1111398
exp_magnitude,loss_train,93,0.09868708997964859,1772337632.2520354
exp_magnitude,loss_train,94,0.09428983926773071,1772337730.344571
exp_magnitude,loss_train,95,0.09339962154626846,1772337828.5095265
exp_magnitude,loss_train,96,0.0996154174208641,1772337926.6100466
exp_magnitude,loss_train,97,0.09332510828971863,1772338024.7410104
